Loaded 1 remote nodes
Node JamesBridges initialized on IP 10.90.74.12
Configuration: threads = 10, eventsPerThread = 500, remoteSendPercent = 25%
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 330
Thread-1 SENT: Event from JamesBridges to BraileySharpe with timestamp 302
Thread-1 SENT: Event from JamesBridges to BraileySharpe with timestamp 348
Thread-1 LOCAL: Event from JamesBridges to JamesBridges with timestamp 350
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 340
Thread-1 SENT: Event from JamesBridges to BraileySharpe with timestamp 352
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 314
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 354
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 356
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 322
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 360
Thread-0 SENT: Event from JamesBridges to BraileySharpe with timestamp 364
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 366
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 344
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 370
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 372
Thread-7 SENT: Event from JamesBridges to BraileySharpe with timestamp 374
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 346
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 376
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 378
Thread-2 SENT: Event from JamesBridges to BraileySharpe with timestamp 380
Thread-6 SENT: Event from JamesBridges to BraileySharpe with timestamp 342
Thread-0 SENT: Event from JamesBridges to BraileySharpe with timestamp 368
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 362
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 384
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 358
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 386
Thread-7 SENT: Event from JamesBridges to BraileySharpe with timestamp 382
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 388
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 392
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 396
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 398
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 400
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 404
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 390
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 408
Thread-3 SENT: Event from JamesBridges to BraileySharpe with timestamp 410
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 406
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 394
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 414
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 402
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 418
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 420
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 416
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 412
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 422
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 426
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 424
Thread-6 SENT: Event from JamesBridges to BraileySharpe with timestamp 430
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 428
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 432
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 434
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 436
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 438
